from_stop_id,to_stop_id,transfer_type,min_transfer_time
11606,8044,2,300
11606,8073,2,300
11606,8754,2,300
11606,8763,2,300
11606,972,2,300
11613,9848,2,360
11616,11438,2,360
11616,77,0,
11616,96,0,
11622,155,0,
11622,256,2,300
11623,668,0,
11623,701,0,
11628,5016,2,480
11628,5077,2,480
11629,5077,2,480
11632,155,0,
11632,256,0,
11638,11534,2,360
11638,11638,0,
11638,411,2,300
11638,4494,2,420
11638,80,0,
11638,939,2,360
11646,81,2,540
1165,1738,2,600
11664,11664,2,120
11664,5183,2,360
11664,9720,0,
11674,1685,2,300
11674,1736,2,300
11674,1801,0,
11674,8047,0,
11674,8070,0,
11674,8563,0,
11676,4659,2,360
11678,11708,2,300
1168,2540,0,
11682,1430,2,300
11682,1442,0,
1170,1170,0,
1170,12336,2,480
11701,5031,2,360
11701,5059,2,480
11704,11704,0,
11704,12543,2,420
11704,5436,0,
11704,5542,0,
11704,6195,2,420
11704,6340,2,420
11706,11706,0,
11707,11243,2,300
11707,11247,2,300
11707,11295,2,360
11707,11707,0,
11707,12716,2,300
11707,6753,2,300
11708,11678,2,300
1171,1170,2,480
1171,1175,2,300
1171,12336,0,
11710,11712,0,
11710,11714,2,300
11710,11715,0,
11710,11716,0,
11710,11718,0,
11710,8053,0,
11710,8064,0,
11713,11710,0,
11713,11712,0,
11713,11714,0,
11713,11715,0,
11713,11716,0,
11713,8053,0,
11713,8064,0,
11714,11710,0,
11714,11712,0,
11714,11714,0,
11714,11715,0,
11714,11716,0,
11714,11718,0,
11714,8053,0,
11714,8064,0,
11715,11710,0,
11715,11712,0,
11715,11714,0,
11715,11715,0,
11715,11716,0,
11719,11710,0,
11719,11715,0,
11719,11716,0,
11719,11718,0,
11719,8053,0,
11719,8064,0,
1172,1170,2,480
1172,1175,2,480
1173,12405,2,300
1173,12409,2,300
1173,12410,2,300
1173,12411,2,300
1173,2016,0,
1173,2414,0,
1173,2523,0,
1173,2671,0,
1173,2717,2,120
1173,2761,0,
1173,2833,0,
1173,8049,2,300
1173,8068,2,300
11733,2269,0,
11739,11736,2,300
11739,11739,0,
11739,12386,0,
11754,10629,0,
11759,11759,0,
11760,10958,2,360
11760,11759,0,
11765,11710,0,
11765,11712,0,
11765,11714,0,
11765,11715,0,
11765,11716,0,
11765,8053,0,
11765,8064,0,
11785,11653,2,480
11792,12358,2,420
11792,12361,2,420
11792,12362,2,420
11792,12363,2,420
11793,12358,2,300
11793,12361,2,300
11793,12362,2,300
11793,12363,2,300
11794,12358,2,300
11794,12361,2,300
11794,12363,2,300
11798,11799,0,
11798,11801,0,
11798,11802,0,
11798,11807,0,
11798,11808,0,
11798,11810,0,
11798,11811,0,
11801,11799,0,
11801,11802,0,
11801,11806,0,
11801,11807,0,
11801,11808,0,
11801,11810,0,
11801,11811,0,
11802,11798,0,
11802,11801,0,
11802,11806,0,
11802,11807,0,
11802,11808,0,
11802,11811,0,
11805,11798,0,
11805,11799,0,
11805,11801,0,
11805,11802,0,
11805,11806,0,
11805,11807,0,
11805,11808,0,
11805,11810,0,
11805,11811,0,
11806,11799,0,
11806,11801,0,
11806,11802,0,
11806,11807,0,
11806,11808,0,
11806,11810,0,
11806,11811,0,
11807,11798,0,
11807,11799,0,
11807,11801,0,
11807,11802,0,
11807,11806,0,
11808,11798,0,
11808,11799,0,
11808,11801,0,
11808,11802,0,
11808,11806,0,
11808,11810,0,
11808,11811,0,
1181,1181,0,
11810,11798,0,
11810,11799,0,
11810,11801,0,
11810,11806,0,
11810,11807,0,
11810,11808,0,
11810,11811,0,
11827,11827,0,
11827,3317,0,
11843,12380,2,360
1186,1187,0,
1186,12665,2,300
1186,12666,2,300
1186,1648,0,
11860,11858,0,
11860,11861,0,
11860,5464,0,
11860,5593,0,
11860,5633,0,
11860,5700,0,
11860,5743,0,
11860,6000,0,
11860,6077,0,
11866,11867,0,
11866,4491,0,
11866,4660,0,
11867,11867,0,
11867,4461,0,
1187,1160,0,
1187,1186,0,
1187,1187,0,
11874,11874,0,
11874,12567,0,
11874,12835,2,360
11874,12836,2,360
11874,1401,2,360
11874,8750,0,
11874,8759,2,300
11875,11874,2,360
11875,11875,0,
11875,8750,2,360
11875,8759,2,360
11878,11874,2,360
11878,12567,2,360
11878,8750,2,420
11878,8759,2,420
11879,11878,2,360
11879,12567,2,360
11879,12835,2,420
11879,12836,2,420
11882,10880,0,
11882,10881,0,
11882,11764,2,300
11882,11882,0,
11882,5045,0,
11882,5122,0,
11882,5262,0,
11882,5494,0,
11882,5667,0,
11882,5768,0,
11882,5769,0,
11882,5793,0,
11882,5891,0,
11882,6467,0,
11882,8057,0,
11882,8060,0,
1190,1617,0,
1190,1683,0,
11903,11901,0,
11903,11903,0,
11903,12428,0,
11906,2266,0,
11906,2323,0,
11909,2266,0,
11909,2323,0,
11911,11911,0,
11911,1429,0,
11911,1444,0,
11929,11091,2,360
11929,4329,2,300
11932,6661,0,
11932,8283,2,420
11932,8483,2,480
11940,11941,0,
11940,11942,0,
11940,11943,0,
11940,12022,0,
11940,12230,0,
11940,12332,0,
11940,8033,2,120
11949,11949,0,
11949,11957,0,
1195,1158,0,
1195,1195,0,
11958,11950,0,
11958,12285,0,
11959,11952,0,
11962,7645,2,540
11964,9376,0,
1198,665,0,
1198,704,0,
11998,11032,0,
1202,1307,2,360
1202,1355,0,
12020,11941,0,
12020,11942,0,
12020,11943,0,
12020,12022,0,
12020,12230,0,
12020,12231,0,
12020,12332,0,
12020,8020,2,120
